"ShopDash Extension","ShopDash Extension"
"ShopDash Settings","ShopDash Settings"
"ShopDash Export Configuration","ShopDash Export Configuration"
"Enable","Enable"
"Enable module.","Enable module."
"Filename","Filename"
"Name of the export file. I.e.: shopdash.xml. The export file name will be storeX_shopdash.xml, where X is the store id.","Name of the export file. I.e.: shopdash.xml. The export file name will be storeX_shopdash.xml, where X is the store id."
"Path","Path"
"Path to the export file. I.e.: /shopdash_feed.","Path to the export file. I.e.: /shopdash_feed."
"Start Time","Start Time"
"Daily export schedule. Format: HH:MM:SS.","Daily export schedule. Format: HH:MM:SS."
"Empty Cart","Empty Cart"
"Empty cart before adding products.","Empty cart before adding products."
"Redirect","Redirect"
"Redirect to shopping cart or to checkout page.","Redirect to shopping cart or to checkout page."
"Run Export Now","Run Export Now"
"Products Configuration","Products Configuration"
"Product Properties","Product Properties"
"Please select product's attributes.","Please select product's attributes."
"Unit of Quantity","Unit of Quantity"
"Please select unit of quantity attribute.","Please select unit of quantity attribute."
"Custom Unit of Quantity","Custom Unit of Quantity"
"Custom discount name for every products. I.e.: qty, kg, etc.","Custom discount name for every products. I.e.: qty, kg, etc."
"Include Image Gallery","Include Image Gallery"
"The export will include all product images.","The export will include all product images."
"Category Configuration","Category Configuration"
"Select All Categories","Select All Categories"
"If set to yes, all categories will be selected.","If set to yes, all categories will be selected."
"Selected Categories","Selected Categories"
"Please select categories.","Please select categories."
"Deal Configuration","Deal Configuration"
"Enable Deal","Enable Deal"
"Enable deal in export.","Enable deal in export."
"Deal Name Attribute","Deal Name Attribute"
"Please select deal name attribute.","Please select deal name attribute."
"Custom Deal Name","Custom Deal Name"
"Custom discount name for every products. I.e.: Special discount. This will be used if deal name attribute is not set.","Custom discount name for every products. I.e.: Special discount. This will be used if deal name attribute is not set."
"Deal Priority","Deal Priority"
"Item size in the list. Available values: small, medium, huge.","Item size in the list. Available values: small, medium, huge."
"Deal Price Attribute","Deal Price Attribute"
"Please select deal price attribute.","Please select deal price attribute."
"ShopDash Informations","ShopDash Informations"
"Run Export","Run Export"
"ShopDash: Cannot add the item to shopping cart.","ShopDash: Cannot add the item to shopping cart."
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot add configurable item to shopping cart.","Cannot add configurable item to shopping cart."
"Products were added to your shopping cart.","Products were added to your shopping cart."
"%s was added to your shopping cart.","%s was added to your shopping cart."
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"An error occurred while running export.","An error occurred while running export."
"Unable to save the cron expression.","Unable to save the cron expression."
"Please select...","Please select..."
"Root","Root"
"Small","Small"
"Medium","Medium"
"Huge","Huge"
"Shopping Cart","Shopping Cart"
"Checkout","Checkout"
"Are you sure you want to run export? There can be performance impact during this operation.","Are you sure you want to run export? There can be performance impact during this operation."
"URL error! 404 Not found.","URL error! 404 Not found."
"Server error! Please try again later.","Server error! Please try again later."
"Yes","Yes"
"No","No"
"Please click on Reset filter to see the whole list","Please click on Reset filter to see the whole list"